country,carbon-intensity,cluster_id,cluster_center,distance_from_center
Argentina,302.79,0,355.71,52.92
Australia,435.48,0,355.71,79.77
China,480.48,0,355.71,124.77
Czechia,439.39,0,355.71,83.68
Egypt,342.83,0,355.71,12.88
Germany,276.61,0,355.71,79.1
Ireland,322.48,0,355.71,33.23
Japan,382.18,0,355.71,26.47
Mexico,296.31,0,355.71,59.4
Singapore,366.37,0,355.71,10.66
South Korea,360.97,0,355.71,5.26
USA,332.84,0,355.71,22.87
United Arab Emirates,285.44,0,355.71,70.27
Austria,100.1,1,81.72,18.38
Belgium,109.93,1,81.72,28.21
Brazil,57.45,1,81.72,24.27
Canada,87.85,1,81.72,6.13
Finland,43.35,1,81.72,38.37
France,18.4,1,81.72,63.32
Great Britain,106.68,1,81.72,24.96
Italy,210.41,1,81.72,128.69
Norway,8.78,1,81.72,72.94
Slovenia,207.72,1,81.72,126.0
Spain,88.95,1,81.72,7.23
Sweden,4.09,1,81.72,77.63
Switzerland,18.63,1,81.72,63.09
Indonesia,567.04,2,617.91,50.87
Mainland India,605.69,2,617.91,12.22
Poland,643.02,2,617.91,25.11
South Africa,655.89,2,617.91,37.98
