year,month,carbon-avg,cfe-avg,label
2022,12,360.52,35.83832,highest_carbon
2022,3,347.359073,35.822218,highest_carbon
2021,11,346.728514,33.076681,highest_carbon
2022,10,335.784745,39.167164,highest_carbon
2022,2,330.489896,38.980595,highest_carbon
2024,5,158.240887,68.989731,lowest_carbon
2024,4,170.670889,66.253958,lowest_carbon
2024,6,171.978792,65.487792,lowest_carbon
2024,3,192.853871,60.919556,lowest_carbon
2024,7,200.595995,57.939099,lowest_carbon
2024,5,158.240887,68.989731,highest_cfe
2024,4,170.670889,66.253958,highest_cfe
2024,6,171.978792,65.487792,highest_cfe
2024,3,192.853871,60.919556,highest_cfe
2023,5,203.494489,59.877003,highest_cfe
2021,11,346.728514,33.076681,lowest_cfe
2022,3,347.359073,35.822218,lowest_cfe
2022,12,360.52,35.83832,lowest_cfe
2022,1,326.947876,36.603683,lowest_cfe
2021,12,329.303508,37.868817,lowest_cfe
