country,carbon-intensity,cluster_id,cluster_center,distance_from_center
Indonesia,567.04,0,617.91,50.87
Mainland India,605.69,0,617.91,12.22
Poland,643.02,0,617.91,25.11
South Africa,655.89,0,617.91,37.98
Brazil,57.45,1,25.12,32.33
Finland,43.35,1,25.12,18.23
France,18.4,1,25.12,6.72
Norway,8.78,1,25.12,16.34
Sweden,4.09,1,25.12,21.03
Switzerland,18.63,1,25.12,6.49
Japan,382.18,2,369.84,12.34
Singapore,366.37,2,369.84,3.47
South Korea,360.97,2,369.84,8.87
Argentina,302.79,3,290.29,12.5
Germany,276.61,3,290.29,13.68
Mexico,296.31,3,290.29,6.02
United Arab Emirates,285.44,3,290.29,4.85
Australia,435.48,4,451.78,16.3
China,480.48,4,451.78,28.7
Czechia,439.39,4,451.78,12.39
Austria,100.1,5,98.7,1.4
Belgium,109.93,5,98.7,11.23
Canada,87.85,5,98.7,10.85
Great Britain,106.68,5,98.7,7.98
Spain,88.95,5,98.7,9.75
Italy,210.41,6,209.07,1.34
Slovenia,207.72,6,209.07,1.35
Egypt,342.83,7,332.72,10.11
Ireland,322.48,7,332.72,10.24
USA,332.84,7,332.72,0.12
